College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
Tier 2,Executive,Metro,68011.00,2,70,18,53020.32
Tier 2,Executive,Non-Metro,64691.00,2,44,59,80588.67
Tier 3,Manager,Metro,53910.00,3,75,56,90228.63
Tier 1,Executive,Non-Metro,60907.00,2,57,45,79263.09
Tier 1,Executive,Metro,54327.00,2,64,60,88561.51
Tier 3,Executive,Non-Metro,46538.00,1,53,56,62424.16
Tier 1,Executive,Non-Metro,52796.00,2,79,40,65442.63
Tier 1,Executive,Metro,64231.00,1,75,35,66671.19
Tier 1,Executive,Metro,59444.00,3,59,39,76341.13
Tier 3,Executive,Metro,49831.00,3,63,30,73782.54
Tier 1,Executive,Metro,45913.00,3,75,24,69436.17
Tier 3,Executive,Metro,52310.00,4,47,20,56862.74
Tier 2,Executive,Metro,69868.00,4,55,32,79427.58
Tier 1,Executive,Metro,60939.00,1,74,59,91681.45
Tier 2,Executive,Non-Metro,57469.00,3,45,55,77103.63
Tier 3,Executive,Non-Metro,52571.00,3,72,57,66313.95
Tier 1,Executive,Metro,67425.00,1,59,56,82675.11
Tier 2,Executive,Non-Metro,59817.00,1,78,40,67427.14
Tier 2,Executive,Non-Metro,65657.00,3,83,49,76090.01
Tier 1,Manager,Metro,50292.00,1,49,42,85106.53
Tier 1,Executive,Non-Metro,60081.00,2,41,62,75901.99
Tier 1,Executive,Metro,52897.00,4,49,56,82030.46
Tier 3,Executive,Metro,52642.00,1,84,19,63601.24
Tier 2,Manager,Non-Metro,50843.00,3,45,30,67351.02
Tier 1,Executive,Non-Metro,56192.00,2,50,60,81955.26
Tier 3,Executive,Non-Metro,58100.00,4,67,56,67700.67
Tier 1,Executive,Non-Metro,47928.00,3,83,28,92828.33
Tier 2,Executive,Non-Metro,50000.00,4,37,18,64431.37
Tier 2,Executive,Metro,59968.00,3,85,27,55221.36
Tier 1,Executive,Non-Metro,57102.00,3,49,18,66958.6
Tier 1,Executive,Non-Metro,51617.00,3,47,19,71871.01
Tier 1,Executive,Non-Metro,57304.00,2,85,47,93477.17
Tier 1,Manager,Metro,53736.00,4,45,54,79771.46
Tier 3,Manager,Metro,51073.00,2,45,61,86575.65
Tier 1,Manager,Metro,50138.00,3,70,24,95813.53
Tier 3,Executive,Metro,63654.00,2,56,25,75793.14
Tier 2,Executive,Metro,57408.00,1,83,21,56636.9
Tier 2,Executive,Metro,55569.00,4,69,23,65668.72
Tier 3,Executive,Metro,63988.00,2,79,63,80614.98
Tier 2,Executive,Metro,61721.00,2,45,49,70220.52
Tier 2,Executive,Non-Metro,59669.00,2,81,18,53921.11
Tier 1,Executive,Non-Metro,65851.00,2,60,51,75572.88
Tier 1,Executive,Metro,62411.00,4,42,48,77207.7
Tier 1,Executive,Non-Metro,55412.00,1,68,31,60710.06
Tier 3,Executive,Non-Metro,43715.00,1,78,54,75143.25
Tier 1,Executive,Metro,54231.00,1,62,19,76382.82
Tier 2,Manager,Non-Metro,64433.00,3,46,44,111735.76
Tier 3,Executive,Metro,55232.00,1,80,53,65540.32
Tier 1,Executive,Non-Metro,61583.00,3,52,19,67531.15
Tier 2,Executive,Non-Metro,46532.00,2,83,61,75598.32
Tier 1,Executive,Non-Metro,53540.00,1,67,18,69264
Tier 1,Executive,Metro,64566.00,3,81,61,89477.54
Tier 1,Manager,Metro,48681.00,4,81,21,82925.12
Tier 1,Executive,Metro,56554.00,1,74,20,76083.3
Tier 1,Executive,Non-Metro,51206.00,3,53,31,68596.74
Tier 1,Executive,Metro,52435.00,1,55,45,74170.13
Tier 2,Executive,Non-Metro,50155.00,4,39,44,59306.19
Tier 1,Executive,Non-Metro,64187.00,4,39,62,67432.59
Tier 1,Manager,Metro,59413.00,1,82,29,95450.98
Tier 1,Executive,Metro,46707.00,3,47,43,72730.05
Tier 2,Manager,Metro,47277.00,3,59,51,83631.77
Tier 2,Manager,Metro,58500.00,2,35,19,96401.16
Tier 2,Executive,Non-Metro,57730.00,3,77,38,64151.37
Tier 3,Executive,Metro,51923.00,2,62,37,78114.29
Tier 3,Executive,Metro,51612.00,2,37,22,60924.86
Tier 3,Executive,Metro,43980.00,3,77,21,71338.39
Tier 1,Executive,Non-Metro,45394.00,4,60,24,65139.49
Tier 1,Executive,Non-Metro,55176.00,4,35,57,69100.46
Tier 1,Executive,Metro,56245.00,2,45,56,86927.86
Tier 2,Executive,Metro,59043.00,2,49,27,69219.33
Tier 1,Executive,Metro,48766.00,4,37,51,73707.1
Tier 1,Executive,Metro,58626.00,4,61,19,76788.27
Tier 1,Manager,Metro,52001.00,2,49,39,85600.1
Tier 1,Executive,Metro,59352.00,4,43,58,85744.04
Tier 2,Executive,Metro,64052.00,3,52,20,91330.57
Tier 3,Executive,Metro,57344.00,4,38,45,68928.96
Tier 1,Executive,Non-Metro,54246.00,1,64,35,71387.98
Tier 1,Executive,Metro,51942.00,3,44,31,66988.1
Tier 1,Executive,Non-Metro,56726.00,2,58,50,92894.44
Tier 2,Executive,Non-Metro,67851.00,3,37,32,67278.35
Tier 1,Executive,Non-Metro,62959.00,3,49,51,79975.83
Tier 2,Executive,Non-Metro,60621.00,1,56,38,61501.14
Tier 2,Manager,Metro,53839.00,4,67,42,100719.01
Tier 2,Executive,Non-Metro,59229.00,3,85,18,61871.8
Tier 3,Executive,Non-Metro,54598.00,4,42,19,74819.09
Tier 1,Executive,Non-Metro,51247.00,4,73,51,71395.15
Tier 1,Executive,Metro,69245.00,1,46,46,76576.5
Tier 1,Executive,Metro,45520.00,2,75,18,59940.2
Tier 2,Manager,Metro,65606.00,1,35,57,101280.17
Tier 1,Executive,Non-Metro,59206.00,2,63,62,73927.15
Tier 2,Executive,Metro,50418.00,4,84,59,82172.24
Tier 2,Executive,Metro,62251.00,2,56,37,80040.49
Tier 2,Executive,Metro,67078.00,3,62,64,81452.04
Tier 1,Executive,Metro,56981.00,1,35,38,68630.86
Tier 1,Executive,Non-Metro,64976.00,2,68,33,79118.64
Tier 1,Executive,Non-Metro,59392.00,2,80,46,77197.29
Tier 2,Executive,Non-Metro,52617.00,1,75,46,70505.65
Tier 2,Executive,Metro,51484.00,3,51,53,87095.67
Tier 1,Executive,Non-Metro,62724.00,1,81,34,61484.31
Tier 2,Executive,Non-Metro,57844.00,2,42,20,65493.39
Tier 2,Executive,Non-Metro,58479.00,1,62,63,74974.14
Tier 2,Manager,Non-Metro,73856.00,1,75,54,121362.73
Tier 3,Executive,Metro,60126.00,1,44,54,66575.29
Tier 3,Manager,Metro,49947.00,2,56,49,85975.9
Tier 1,Executive,Metro,63402.00,1,44,28,67244.5
Tier 1,Executive,Non-Metro,66956.00,4,59,54,69163.02
Tier 1,Executive,Non-Metro,50975.00,2,65,25,63470.6
Tier 2,Manager,Non-Metro,70528.00,2,46,43,103308.6
Tier 1,Executive,Metro,58773.00,3,39,63,78733.5
Tier 2,Executive,Non-Metro,52160.00,3,40,32,59944.47
Tier 1,Executive,Metro,46289.00,4,85,62,80727.84
Tier 3,Executive,Non-Metro,60421.00,1,65,52,69957.72
Tier 1,Executive,Non-Metro,65688.00,1,48,25,86779.9
Tier 1,Executive,Metro,44223.00,1,73,28,60276.99
Tier 1,Executive,Metro,57888.00,1,79,46,69644.59
Tier 2,Executive,Metro,61457.00,2,37,34,62905.33
Tier 3,Manager,Non-Metro,55713.00,1,53,35,91461.53
Tier 3,Executive,Metro,56519.00,1,64,19,68107.12
Tier 3,Executive,Non-Metro,46264.00,3,52,46,59944.19
Tier 1,Executive,Non-Metro,61984.00,1,55,54,73132.19
Tier 1,Executive,Metro,53585.00,4,83,27,66902.35
Tier 2,Executive,Metro,69993.00,2,66,50,77519.72
Tier 2,Executive,Non-Metro,55083.00,4,78,18,64807.83
Tier 3,Executive,Non-Metro,54624.00,3,40,19,64539.46
Tier 3,Executive,Non-Metro,69272.00,1,52,38,74082.97
Tier 3,Executive,Metro,54790.00,3,37,41,74176.38
Tier 1,Executive,Non-Metro,55440.00,1,48,49,64550.69
Tier 3,Manager,Metro,64558.00,3,47,48,99734.64
Tier 1,Executive,Non-Metro,50385.00,4,67,31,70422.32
Tier 2,Executive,Non-Metro,61828.00,3,42,18,68584.06
Tier 2,Executive,Non-Metro,71543.00,4,82,30,61366.78
Tier 1,Executive,Non-Metro,60757.00,3,48,62,85245.01
Tier 1,Executive,Non-Metro,64225.00,4,43,57,80470.64
Tier 3,Executive,Non-Metro,55470.00,3,36,58,68557.78
Tier 2,Executive,Metro,47049.00,4,65,22,57010.86
Tier 1,Manager,Non-Metro,59101.00,3,56,31,113843.16
Tier 1,Executive,Metro,55453.00,3,67,52,71105.71
Tier 1,Executive,Non-Metro,44848.00,3,41,25,65897.67
Tier 1,Executive,Metro,48183.00,4,35,59,73716.85
Tier 3,Executive,Metro,52782.00,1,56,19,62989.38
Tier 2,Executive,Metro,69431.00,1,49,39,66323.22
Tier 2,Executive,Non-Metro,51589.00,4,41,32,78048.35
Tier 1,Executive,Metro,48860.00,4,67,19,65236.18
Tier 2,Executive,Non-Metro,50087.00,1,82,33,59009.52
Tier 1,Executive,Metro,49047.00,3,40,21,74563.83
Tier 3,Manager,Non-Metro,56231.00,1,74,34,92698.56
Tier 1,Executive,Non-Metro,61046.00,4,60,61,77981.88
Tier 2,Executive,Non-Metro,57851.00,1,79,38,61211.79
Tier 1,Executive,Non-Metro,57087.00,4,57,58,78324.59
Tier 3,Executive,Metro,48844.00,2,78,47,70576.11
Tier 2,Executive,Metro,51214.00,2,54,20,59565.94
Tier 1,Manager,Non-Metro,49750.00,4,70,21,65081.36
Tier 2,Executive,Metro,68145.00,3,84,41,64093.96
Tier 1,Executive,Non-Metro,55675.00,1,46,46,76864.52
Tier 2,Executive,Non-Metro,53388.00,2,61,42,70286.85
Tier 1,Executive,Non-Metro,57584.00,4,44,34,73572.32
Tier 1,Executive,Metro,56087.00,3,85,43,74611.23
Tier 3,Executive,Non-Metro,65165.00,1,79,52,100742.29
Tier 2,Executive,Non-Metro,61095.00,1,54,18,53472.6
Tier 3,Executive,Metro,55522.00,3,38,51,79954.36
Tier 1,Executive,Non-Metro,54823.00,2,64,56,78933.39
Tier 2,Executive,Non-Metro,62830.00,4,51,64,83153.13
Tier 3,Manager,Non-Metro,54550.00,1,53,19,73581.57
Tier 2,Executive,Non-Metro,54662.00,3,74,51,70751.48
Tier 1,Executive,Non-Metro,49239.00,4,45,27,63459.16
Tier 3,Manager,Non-Metro,53652.00,2,68,59,82182.86
Tier 1,Executive,Metro,50659.00,3,63,28,77372.88
Tier 1,Manager,Metro,59169.00,4,51,30,95875.83
Tier 2,Executive,Non-Metro,56043.00,1,44,47,62426.39
Tier 1,Executive,Non-Metro,59528.00,2,35,38,65621.21
Tier 1,Executive,Non-Metro,54324.00,2,74,18,65404.57
Tier 1,Executive,Non-Metro,40574.00,2,66,34,62314.99
Tier 2,Executive,Non-Metro,60511.00,4,56,20,55486.61
Tier 2,Manager,Non-Metro,61626.00,3,42,47,102099.91
Tier 1,Executive,Non-Metro,56704.00,4,73,56,77326.3
Tier 1,Manager,Metro,55507.00,3,68,49,81770.13
Tier 2,Manager,Non-Metro,63071.00,2,60,19,95369.35
Tier 1,Executive,Non-Metro,60356.00,4,51,55,77809.72
Tier 1,Executive,Metro,55650.00,4,75,30,62505.95
Tier 1,Manager,Metro,55291.00,3,56,37,102592.89
Tier 1,Executive,Non-Metro,50234.00,3,42,49,75835.34
Tier 1,Manager,Metro,57309.00,2,44,18,108840.13
Tier 3,Executive,Metro,49801.00,1,40,59,78467.44
Tier 3,Executive,Non-Metro,53160.00,1,46,29,62498.78
Tier 1,Executive,Metro,51698.00,1,67,36,82885.09
Tier 2,Executive,Metro,69671.00,3,36,33,67675.99
Tier 1,Executive,Metro,62309.00,4,61,58,87098.07
Tier 3,Manager,Non-Metro,62634.00,1,56,44,99438.63
Tier 1,Executive,Metro,64138.00,4,35,53,72864.74
Tier 1,Executive,Metro,51339.00,3,75,24,72905.05
Tier 2,Executive,Non-Metro,56337.00,3,78,29,69201.42
Tier 1,Executive,Metro,47655.00,2,80,40,76955.42
Tier 1,Executive,Metro,63372.00,3,43,51,82767.25
Tier 1,Executive,Metro,63512.00,3,43,64,85418.25
Tier 3,Executive,Non-Metro,47893.00,1,53,19,66799.89
Tier 1,Executive,Non-Metro,63895.00,1,80,35,83672.86
Tier 1,Manager,Metro,52623.00,1,47,39,80856.11
Tier 2,Executive,Metro,58616.00,4,38,56,70153.22
Tier 1,Executive,Metro,65363.00,3,79,33,73418.48
Tier 3,Manager,Metro,53149.00,1,71,42,84130.43
Tier 1,Executive,Metro,56350.00,4,37,61,83817.75
Tier 3,Executive,Non-Metro,57901.00,4,82,23,70462.3
Tier 2,Executive,Metro,56632.00,2,46,43,85006.88
Tier 1,Executive,Metro,53453.00,1,39,48,73023.46
Tier 3,Executive,Metro,53821.00,2,63,39,74467.3
Tier 1,Executive,Non-Metro,45986.00,4,55,40,73401.83
Tier 1,Executive,Metro,54357.00,3,54,18,77579.31
Tier 1,Executive,Non-Metro,61409.00,3,77,58,78989.16
Tier 2,Executive,Non-Metro,66330.00,4,44,49,68736.41
Tier 2,Executive,Non-Metro,64649.00,3,47,53,79999.26
Tier 2,Executive,Non-Metro,52136.00,4,77,48,63749.73
Tier 2,Executive,Non-Metro,60103.00,3,74,45,74810.66
Tier 2,Executive,Non-Metro,62521.00,1,70,59,77733.27
Tier 2,Manager,Non-Metro,49103.00,1,80,52,81128.88
Tier 1,Executive,Non-Metro,71328.00,1,65,26,77695.83
Tier 3,Executive,Metro,58953.00,4,46,27,64535
Tier 1,Executive,Non-Metro,59927.00,2,51,48,87640.58
Tier 1,Executive,Non-Metro,49840.00,3,37,57,69511.75
Tier 2,Executive,Metro,67431.00,3,46,37,66775.8
Tier 2,Executive,Non-Metro,45910.00,3,44,57,82368.08
Tier 1,Executive,Non-Metro,51683.00,3,55,32,62070.15
Tier 2,Executive,Metro,54298.00,4,44,18,69619.85
Tier 2,Manager,Non-Metro,49209.00,3,59,64,78320.21
Tier 2,Manager,Metro,62631.00,2,68,43,105727.87
Tier 1,Executive,Metro,55394.00,1,61,49,79057.81
Tier 3,Manager,Non-Metro,57876.00,2,39,40,99227.71
Tier 1,Manager,Metro,60476.00,1,85,62,113212.07
Tier 2,Executive,Non-Metro,53787.00,2,42,40,66886.63
Tier 2,Executive,Metro,59116.00,1,81,30,63752
Tier 1,Executive,Non-Metro,53671.00,2,65,29,68221.29
Tier 2,Executive,Metro,55289.00,2,75,36,60479.67
Tier 2,Executive,Non-Metro,52987.00,1,52,41,68586.4
Tier 2,Manager,Non-Metro,71473.00,4,84,44,92655.28
Tier 3,Executive,Metro,45893.00,3,70,45,66715.6
Tier 2,Executive,Non-Metro,63091.00,3,68,55,77143.39
Tier 3,Manager,Metro,56830.00,1,84,60,108471.68
Tier 1,Executive,Metro,64221.00,1,55,56,91904.17
Tier 3,Executive,Non-Metro,50761.00,2,62,49,72795.44
Tier 1,Executive,Non-Metro,44663.00,1,61,21,67584.07
Tier 1,Executive,Metro,47451.00,1,44,19,64086.37
Tier 1,Manager,Metro,60917.00,3,69,39,101886.28
Tier 3,Executive,Metro,47576.00,4,68,53,66654.11
Tier 1,Executive,Non-Metro,40632.00,2,61,33,71017.54
Tier 1,Executive,Metro,53942.00,1,44,53,79333.46
Tier 1,Executive,Metro,50105.00,4,74,42,76594.04
Tier 2,Executive,Metro,63562.00,3,41,40,79720.02
Tier 1,Executive,Non-Metro,49275.00,3,38,47,84809.17
Tier 2,Manager,Metro,52857.00,2,49,27,87581.33
Tier 1,Executive,Metro,52889.00,2,80,21,61991.12
Tier 1,Executive,Metro,63893.00,3,73,47,79299.74
Tier 3,Executive,Metro,58001.00,1,82,20,63021.18
Tier 3,Executive,Metro,48539.00,2,59,24,62387.28
Tier 1,Executive,Non-Metro,62261.00,4,39,27,59214.25
Tier 3,Executive,Non-Metro,66242.00,2,81,26,62441.32
Tier 1,Executive,Non-Metro,61262.00,2,82,53,91266.27
Tier 2,Manager,Metro,61930.00,1,76,41,96932.92
Tier 3,Executive,Metro,58204.00,2,82,56,69392.13
Tier 2,Executive,Non-Metro,66907.00,3,64,23,70599.91
Tier 2,Executive,Non-Metro,60810.00,4,57,21,62927.79
Tier 1,Executive,Non-Metro,71549.00,4,47,50,83116.21
Tier 2,Executive,Metro,63687.00,3,65,53,79063.48
Tier 3,Executive,Non-Metro,55575.00,2,76,34,66913.22
Tier 3,Executive,Non-Metro,51340.00,3,53,47,62978.36
Tier 1,Executive,Non-Metro,55989.00,1,61,33,73230
Tier 2,Manager,Non-Metro,61656.00,3,51,51,92299.77
Tier 3,Executive,Metro,53303.00,2,57,49,71335.91
Tier 1,Executive,Non-Metro,52308.00,4,46,31,75515.45
Tier 1,Executive,Non-Metro,50961.00,2,74,36,67015.8
Tier 2,Executive,Metro,64693.00,4,64,18,57202.89
Tier 2,Executive,Non-Metro,53444.00,3,49,50,73486.99
Tier 3,Executive,Non-Metro,50977.00,2,39,43,69543.95
Tier 1,Executive,Metro,64679.00,3,84,20,71605.72
Tier 1,Executive,Non-Metro,46192.00,1,45,24,61873.12
Tier 1,Executive,Metro,51157.00,1,74,60,86136.48
Tier 3,Executive,Non-Metro,50975.00,1,84,49,71254.94
Tier 3,Executive,Metro,44522.00,4,75,60,73051.32
Tier 3,Executive,Non-Metro,66466.00,4,82,51,67802.33
Tier 3,Executive,Non-Metro,57809.00,4,73,58,75308.28
Tier 1,Executive,Non-Metro,64865.00,3,37,51,68233.58
Tier 1,Executive,Metro,64419.00,3,54,53,76205.05
Tier 1,Executive,Metro,61665.00,4,85,62,77770.17
Tier 1,Executive,Metro,58401.00,4,48,19,65546.96
Tier 1,Executive,Non-Metro,56452.00,3,58,50,79834.42
Tier 2,Manager,Non-Metro,59079.00,4,83,30,89784.95
Tier 3,Executive,Metro,57178.00,1,49,41,62471.09
Tier 1,Manager,Non-Metro,43154.00,1,41,29,73960.7
Tier 1,Executive,Non-Metro,66113.00,4,78,18,62118.85
Tier 2,Executive,Non-Metro,61367.00,4,53,41,68783.96
Tier 2,Manager,Metro,50269.00,3,59,35,74956.52
Tier 1,Executive,Metro,49579.00,3,68,53,75501.92
Tier 1,Executive,Non-Metro,59535.00,1,74,24,66900.02
Tier 1,Executive,Non-Metro,50357.00,2,42,48,67920.6
Tier 1,Executive,Non-Metro,59413.00,1,66,59,84043.43
Tier 3,Executive,Non-Metro,62127.00,4,65,49,68574.13
Tier 2,Manager,Non-Metro,64762.00,1,63,37,89205.84
Tier 1,Executive,Metro,49361.00,3,82,26,77401.56
Tier 1,Manager,Metro,61256.00,2,65,23,107835.84
Tier 1,Manager,Metro,63258.00,2,57,29,110711.65
Tier 1,Executive,Metro,52271.00,3,77,45,76233.83
Tier 2,Manager,Metro,59081.00,3,62,27,65293.58
Tier 1,Manager,Metro,63947.00,4,50,53,104204.57
Tier 2,Executive,Non-Metro,47765.00,3,64,31,67385.21
Tier 3,Executive,Metro,56001.00,3,46,50,65581.33
Tier 3,Executive,Non-Metro,53097.00,4,75,50,59911.02
Tier 1,Executive,Metro,55213.00,2,55,34,82878.09
Tier 3,Executive,Metro,46248.00,4,38,19,57703.78
Tier 1,Executive,Non-Metro,64931.00,4,70,47,73093.09
Tier 3,Executive,Metro,52432.00,2,57,28,64475.07
Tier 2,Manager,Non-Metro,46681.00,1,64,37,69477.9
Tier 3,Executive,Metro,53992.00,3,72,21,63291.77
Tier 3,Executive,Metro,61431.00,4,45,64,82384.89
Tier 2,Executive,Non-Metro,43343.00,4,80,58,70164.12
Tier 1,Executive,Metro,55168.00,3,82,24,78091.05
Tier 1,Executive,Metro,57128.00,4,77,31,79414.18
Tier 1,Executive,Non-Metro,49004.00,2,73,39,75738.92
Tier 2,Manager,Non-Metro,55294.00,3,68,47,74594.62
Tier 1,Executive,Metro,60466.00,2,84,30,64052.01
Tier 2,Manager,Metro,68023.00,3,54,18,92851.94
Tier 1,Executive,Non-Metro,56831.00,2,47,22,59150.62
Tier 1,Executive,Metro,60909.00,3,67,23,68466.49
Tier 1,Manager,Metro,54744.00,4,62,33,85461.75
Tier 1,Executive,Metro,54660.00,3,43,27,75374.6
Tier 1,Executive,Non-Metro,55085.00,1,59,45,69720.35
Tier 3,Executive,Non-Metro,54021.00,3,60,57,74557.88
Tier 1,Executive,Metro,57988.00,3,67,47,80463.2
Tier 1,Executive,Non-Metro,53563.00,2,82,42,71950.15
Tier 1,Executive,Non-Metro,65041.00,3,35,64,79054.09
Tier 3,Executive,Non-Metro,49106.00,4,64,38,63268.59
Tier 1,Executive,Metro,60296.00,2,56,61,96256.6
Tier 1,Executive,Non-Metro,52516.00,2,55,53,68076.23
Tier 1,Executive,Non-Metro,62913.00,4,55,44,81307.63
Tier 3,Manager,Non-Metro,56259.00,2,37,19,76235.42
Tier 3,Executive,Metro,58635.00,2,76,41,64401.61
Tier 2,Executive,Metro,58393.00,2,54,51,81726.8
Tier 3,Executive,Metro,56343.00,3,58,40,75930.73
Tier 1,Executive,Metro,69103.00,3,61,45,81819.78
Tier 2,Executive,Metro,56302.00,2,78,35,62792.65
Tier 3,Executive,Metro,58682.00,4,56,53,73479.74
Tier 1,Manager,Metro,44755.00,4,79,30,73291.9
Tier 2,Executive,Metro,68087.00,2,48,18,66140.38
Tier 2,Executive,Metro,61111.00,3,67,51,71038.65
Tier 1,Manager,Non-Metro,53210.00,1,40,50,92436.86
Tier 2,Executive,Non-Metro,56411.00,2,56,31,62441.06
Tier 1,Executive,Non-Metro,49618.00,3,79,35,73044.66
Tier 1,Executive,Metro,59442.00,2,72,60,74787.18
Tier 3,Executive,Metro,61362.00,2,51,21,62090.11
Tier 1,Executive,Metro,42655.00,2,70,29,71426.63
Tier 2,Executive,Non-Metro,51003.00,4,74,62,76961.06
Tier 2,Executive,Non-Metro,62984.00,1,38,39,72415.05
Tier 1,Executive,Metro,55600.00,4,58,19,73330.78
Tier 1,Executive,Non-Metro,52226.00,2,61,22,64833.39
Tier 2,Manager,Metro,46979.00,1,66,53,75738.72
Tier 3,Executive,Non-Metro,59752.00,3,46,39,71427.16
Tier 3,Manager,Metro,49839.00,1,81,27,78089.72
Tier 2,Executive,Metro,68797.00,2,79,30,71340.34
Tier 1,Executive,Non-Metro,50705.00,3,52,30,62955.46
Tier 1,Executive,Non-Metro,55987.00,4,50,58,69343.89
Tier 1,Manager,Metro,51256.00,4,75,33,73503.98
Tier 2,Executive,Non-Metro,51639.00,1,69,42,60460.07
Tier 2,Executive,Non-Metro,59523.00,2,55,64,73467.46
Tier 1,Executive,Metro,46380.00,1,62,21,70752.08
Tier 2,Manager,Non-Metro,71123.00,4,57,18,100497.31
Tier 2,Executive,Metro,48611.00,4,61,23,70232.9
Tier 3,Executive,Non-Metro,57328.00,4,65,45,60284.58
Tier 3,Executive,Non-Metro,63521.00,4,82,40,82780.39
Tier 3,Executive,Non-Metro,57604.00,3,82,19,65275.62
Tier 2,Executive,Metro,59305.00,4,78,18,74275.1
Tier 1,Executive,Metro,47312.00,4,75,25,71026.4
Tier 1,Executive,Non-Metro,54513.00,3,82,46,80991.21
Tier 3,Executive,Non-Metro,63523.00,3,45,33,58048.12
Tier 2,Executive,Metro,48852.00,1,76,54,68903.48
Tier 1,Executive,Metro,44096.00,3,60,28,79412.82
Tier 2,Executive,Metro,58892.00,2,79,36,65165.86
Tier 2,Executive,Non-Metro,54118.00,2,50,20,56178.11
Tier 3,Executive,Non-Metro,44960.00,4,42,24,61624.9
Tier 1,Executive,Metro,58422.00,2,54,23,75585.98
Tier 1,Manager,Non-Metro,49329.00,4,46,47,85420.69
Tier 3,Manager,Non-Metro,59455.00,4,43,33,112797.03
Tier 1,Executive,Metro,62637.00,2,65,45,69816.63
Tier 3,Executive,Metro,45637.00,4,37,26,70626.09
Tier 2,Executive,Non-Metro,59481.00,4,77,18,64189.89
Tier 2,Executive,Non-Metro,57100.00,2,54,44,65875.31
Tier 3,Executive,Metro,49702.00,2,85,60,76284.19
Tier 1,Executive,Non-Metro,54415.00,3,75,64,73791.08
Tier 2,Manager,Metro,52110.00,1,67,56,98530.39
Tier 1,Manager,Metro,49570.00,4,72,36,83977.24
Tier 1,Manager,Metro,60301.00,3,66,41,100861.51
Tier 3,Executive,Metro,43612.00,3,48,39,71010.86
Tier 1,Executive,Metro,59933.00,3,77,63,80641.2
Tier 3,Executive,Non-Metro,53563.00,3,69,36,55882.26
Tier 3,Executive,Non-Metro,50705.00,3,74,28,55436.85
Tier 3,Executive,Metro,56493.00,1,73,58,74613.3
Tier 3,Executive,Metro,61040.00,3,54,36,78423.94
Tier 2,Executive,Metro,58049.00,2,51,42,65084.43
Tier 1,Executive,Metro,54506.00,2,65,36,68699.58
Tier 1,Executive,Non-Metro,55502.00,1,47,56,81558.03
Tier 1,Executive,Non-Metro,43496.00,1,57,35,59786.34
Tier 3,Executive,Non-Metro,55109.00,2,68,59,62624.16
Tier 1,Executive,Metro,52417.00,3,73,21,72336.45
Tier 1,Executive,Metro,48990.00,4,83,59,79310.37
Tier 2,Manager,Non-Metro,62458.00,2,66,23,84342.95
Tier 2,Manager,Non-Metro,50520.00,1,80,57,77117.5
Tier 1,Executive,Metro,59420.00,2,46,53,76789.76
Tier 2,Manager,Non-Metro,62279.00,1,84,60,105013.72
Tier 1,Executive,Non-Metro,63285.00,2,62,51,86109.93
Tier 2,Executive,Metro,71756.00,4,67,23,72141.43
Tier 1,Executive,Non-Metro,44682.00,4,44,27,62625.75
Tier 3,Executive,Metro,57576.00,2,43,55,79029.75
Tier 1,Manager,Non-Metro,58364.00,2,74,37,94112.48
Tier 3,Executive,Metro,58625.00,1,63,61,85704.69
Tier 1,Manager,Non-Metro,60754.00,2,65,46,110450.43
Tier 1,Executive,Non-Metro,52462.00,3,57,53,74631.46
Tier 1,Manager,Non-Metro,52402.00,3,65,49,74672.78
Tier 1,Executive,Non-Metro,53334.00,1,77,20,72656.08
Tier 2,Manager,Non-Metro,62455.00,4,60,48,102188.48
Tier 3,Manager,Metro,52388.00,2,40,25,81777.6
Tier 2,Executive,Non-Metro,52322.00,1,49,25,76563.41
Tier 1,Executive,Metro,52235.00,3,36,57,87812.2
Tier 1,Manager,Non-Metro,75785.00,4,63,37,110338.25
Tier 1,Executive,Non-Metro,49974.00,2,77,38,60572.12
Tier 3,Executive,Non-Metro,56950.00,4,44,55,64365.88
Tier 1,Executive,Non-Metro,45321.00,1,65,36,64269.18
Tier 1,Executive,Metro,47794.00,2,50,51,70541.87
Tier 1,Executive,Metro,53920.00,2,60,40,73208.38
Tier 2,Executive,Metro,62728.00,4,71,18,65436.75
Tier 1,Executive,Metro,65633.00,3,56,57,73353.22
Tier 1,Executive,Metro,47254.00,4,83,61,83867.16
Tier 1,Executive,Non-Metro,44699.00,3,75,25,57799.66
Tier 1,Executive,Metro,59813.00,1,79,50,82305.51
Tier 2,Executive,Non-Metro,54051.00,2,40,26,65478.95
Tier 2,Executive,Metro,47027.00,3,71,42,74077.19
Tier 1,Executive,Metro,50329.00,4,64,43,70299.7
Tier 1,Executive,Metro,42581.00,4,62,44,75358.79
Tier 3,Executive,Non-Metro,55895.00,4,40,23,61970.76
Tier 1,Executive,Non-Metro,49123.00,4,53,49,93648.47
Tier 2,Executive,Metro,62570.00,3,61,33,76271.87
Tier 1,Executive,Metro,58546.00,4,56,41,79412.09
Tier 1,Executive,Non-Metro,56740.00,1,49,37,76894.94
Tier 1,Executive,Metro,54979.00,4,72,22,65489.23
Tier 3,Executive,Metro,47472.00,2,77,23,60817.97
Tier 1,Executive,Non-Metro,44468.00,2,85,21,69857.81
Tier 1,Manager,Non-Metro,64930.00,1,66,51,114939.65
Tier 3,Executive,Metro,54374.00,3,46,25,70244.25
